Site,Status detail,Status,Owner/User,Fleet use,Other use proposed/Approved use,matched_address,longitude,latitude,zip
50 Quint St,No fleet charging currently,Inactive,Private owner,76 Charging Spaces,,"50 QUINT ST, SAN FRANCISCO, CA, 94124",-122.388371257433,37.746303914742,94124
1101-1123 Sutter St,"Submitted an application, currently no fleet charging in the city",Inactive,Unknown,Uknown,,"1123 SUTTER ST, SAN FRANCISCO, CA, 94109",-122.418862627424,37.787854051572,94109
2293 Powell St,No fleet charging currently,Inactive,Tesla,19 superchargers for Tesla Use,"Application submitted to build a six-story, mixed-use residential building ","2293 POWELL ST, SAN FRANCISCO, CA, 94133",-122.412002564527,37.805730502482,94133
1201 08th St,"Approved for Fleet Charging, sitting empty",Inactive,Unknown,"Approved for Fleet Charging, sitting empty",Proposedfive-story building with 15 dwelling units and ground floor retail,"1201 8th St, San Francisco, CA 94107",-122.399573812702,37.766696846569,94107
2270 McKinnon Ave,No fleet charging currently,Inactive,"2270 McKinnon Ave LLC, National Cab Company Inc","Applied for change of use to fleet charging, closed without approval",,"2270 MCKINNON AVE, SAN FRANCISCO, CA, 94124",-122.40147864627,37.742871826263,94124
130 Townsend Street,Was a Cruise staging site,Inactive,Cruise,,,"130 TOWNSEND ST, SAN FRANCISCO, CA, 94107",-122.391440833319,37.779968098452,94107
2860 16th St,No fleet charging currently,Inactive,Unknown,"Applied for Fleet Charging, but closed the application without approval ",,"2860 16TH ST, SAN FRANCISCO, CA, 94103",-122.416943532989,37.765271701763,94103
1428 Yosemite Ave,No fleet charging currently,Inactive,Unknown,"Applied for change of use to fleet charging, closed without approval",,"1428 YOSEMITE AVE, SAN FRANCISCO, CA, 94124",-122.38896858134,37.725388503611,94124
1111 Pennsylvania Avenue,Approved for Fleet Charging,Approved,Private owner,52 Charging Spaces,Application submitted to build a labratory on the site,"1111 PENNSYLVANIA AVE, SAN FRANCISCO, CA, 94107",-122.392558101242,37.75246962581,94107
2450 Alameda Street,Has AV fleet ,Active,Zoox,"15 Charging Spaces, and R&D",,"2450 ALAMEDA ST, SAN FRANCISCO, CA, 94103",-122.409236494838,37.768326738419,94103
5th and Brannan,Waymo staging site,Active,Unknown,Waymo Staging Site,,"5th St & Brannan St, SAN FRANCISCO, CA 94107",-122.398819,37.776653,94107
1160 Mission St,Fleet Charging,Active,TeraWatt and Waymo,65 Charging Spaces,,"1160 MISSION ST, SAN FRANCISCO, CA, 94103",-122.412173375941,37.778318730144,94103
140 14th St,Waymo staging site,Active,Waymo,"Applied for Fleet Charging, but closed the application without approval 
Now used as Waymo Staging Site",,"140 14TH ST, SAN FRANCISCO, CA, 94103",-122.416642571454,37.768529910009,94103
777 Harrison St,Waymo staging site,Active,Waymo renting from Whole Foods property,Waymo staging site,,"777 HARRISON ST, SAN FRANCISCO, CA, 94107",-122.399156123535,37.781072237615,94107
120 Perry St,Waymo staging site,Active,Waymo renting from California Departmrnt of Transportation District 4 property,Waymo staging site,,"120 PERRY ST, SAN FRANCISCO, CA, 94107",-122.396943808668,37.782121343601,94107
350 Pacific Ave,Waymo fleet charging,Active,Waymo renting from Reese Charles W TR,,,"350 PACIFIC AVE, SAN FRANCISCO, CA, 94111",-122.40147385411,37.797633714151,94111
350 2nd St,Waymo staging site,Active,Waymo,Waymo Staging,Hotel,"350 2ND ST, SAN FRANCISCO, CA, 94107",-122.395826593804,37.784756069939,94107
201 Toland St,Waymo fleet charging,Active,Waymo ,Waymo Main Site,,"201 TOLAND ST, SAN FRANCISCO, CA, 94124",-122.397026769172,37.745897154111,94124
825 Sansome St.,Application denied,Denied,Tesla,"One level of public parking garage, with two fleet charging levels",,"825 SANSOME ST, SAN FRANCISCO, CA, 94111",-122.402179650039,37.797831183188,94111
465 Irwin St,No fleet charging currently,Denied,Unknown,"Applied for change of use to fleet charging, closed without approval",,"465 IRWIN ST, SAN FRANCISCO, CA, 94107",-122.398812436716,37.767258018877,94107
330 8th St,Application withdrawn,Withdrawn,Lyft,30 Charging Spaces,,"330 8TH ST, SAN FRANCISCO, CA, 94103",-122.409927848073,37.774802137752,94103
1200 Larkin st,"Withdrew Application, no AV's currently",Withdrawn,Sterling Organization,74 Charging Spaces ,Developer met with Planning in 2021 to discuss redeveloping the site into two commercial / retail units and 132 multifamily residential units including on-site inclusionary affordable housing units.,"1200 LARKIN ST, SAN FRANCISCO, CA, 94109",-122.418691238677,37.789440448064,94109
1500 19th Ave,Application withdrawn,Withdrawn,Unknown,"Application was submitted to convert automotive use to Fleet Charging use, 12 Charging Spaces",,"1500 19TH AVE, SAN FRANCISCO, CA, 94122",-122.476683496192,37.759784295769,94122
1700 Pine St,Abandoned Cruise infastructure,Abandoned,Cruise,"Cruise charging site, now sitting empty",,"1700 PINE ST, SAN FRANCISCO, CA, 94109",-122.423865822534,37.789251584442,94109
855 Geary St,Abandoned Cruise infastructure,Abandoned,Cruise,"Cruise site, 20 chargers",,"855 GEARY ST, SAN FRANCISCO, CA, 94109",-122.417331675606,37.786137285529,94109
241 Loomis St,Abandoned Cruise infastructure,Abandoned,Cruise,"Cruise charging site, now sitting empty",,"241 LOOMIS ST, SAN FRANCISCO, CA, 94124",-122.40552888553,37.738824476582,94124
301 Brannan,Abandoned Cruise infastructure,Abandoned,Cruise,"Cruise HQ site, adjacent parking lot formerly used as AV staging lot.  Application was submitted in 2019 to store, maintain and charge vehicles in the building's 5,797-square-foot parking area. ",,"301 BRANNAN ST, SAN FRANCISCO, CA, 94107",-122.392075816201,37.781761025002,94107
333 Brannan,Abandoned Cruise infastructure,Abandoned,Cruise,"Cruise HQ site. Application was submitted in 2019 to store, maintain and charge vehicles in the building's 12,250-square-foot parking area.  ",,"333 BRANNAN ST, SAN FRANCISCO, CA, 94107",-122.392674933436,37.781288767452,94107
640 Chavez ,Abandoned Cruise infastructure,Abandoned,Cruise,Unknown,,"640 CESAR CHAVEZ ST, SAN FRANCISCO, CA 94124",-122.384315,37.750961,94124
345 Brannan,Abandoned Cruise infastructure,Abandoned,Cruise,"Cruise HQ site. Application was submitted in 2020 to store, charge and maintain vehicles in the building's 7,167-square-foot parking area.",,"345 BRANNAN ST, SAN FRANCISCO, CA, 94107",-122.392864087978,37.781140990483,94107
