Site,Status detail,Status,Owner/User,Fleet use,Other use proposed/Approved use
50 Quint St,No fleet charging currently,Inactive,Private owner,76 Charging Spaces,
1101-1123 Sutter St,"Submitted an application, currently no fleet charging in the city",Inactive,Unknown,Uknown,
2293 Powell St,No fleet charging currently,Inactive,Tesla,19 superchargers for Tesla Use,"Application submitted to build a six-story, mixed-use residential building "
1201 08th St,"Approved for Fleet Charging, sitting empty",Inactive,Unknown,"Approved for Fleet Charging, sitting empty",Proposedfive-story building with 15 dwelling units and ground floor retail
2270 McKinnon Ave,No fleet charging currently,Inactive,"2270 McKinnon Ave LLC, National Cab Company Inc","Applied for change of use to fleet charging, closed without approval",
130 Townsend Street,Was a Cruise staging site,Inactive,Cruise,,
2860 16th St,No fleet charging currently,Inactive,Unknown,"Applied for Fleet Charging, but closed the application without approval ",
1428 Yosemite Ave,No fleet charging currently,Inactive,Unknown,"Applied for change of use to fleet charging, closed without approval",
1111 Pennsylvania Avenue,Approved for Fleet Charging,Approved,Private owner,52 Charging Spaces,Application submitted to build a labratory on the site
2450 Alameda Street,Has AV fleet ,Active,Zoox,"15 Charging Spaces, and R&D",
5th and Brannan,Waymo staging site,Active,Unknown,Waymo Staging Site,
1160 Mission St,Fleet Charging,Active,TeraWatt and Waymo,65 Charging Spaces,
140 14th St,Waymo staging site,Active,Waymo,"Applied for Fleet Charging, but closed the application without approval 
Now used as Waymo Staging Site",
777 Harrison St,Waymo staging site,Active,Waymo renting from Whole Foods property,Waymo staging site,
120 Perry St,Waymo staging site,Active,Waymo renting from California Departmrnt of Transportation District 4 property,Waymo staging site,
350 Pacific Ave,Waymo fleet charging,Active,Waymo renting from Reese Charles W TR,,
350 2nd St,Waymo staging site,Active,Waymo,Waymo Staging,Hotel
201 Toland St,Waymo fleet charging,Active,Waymo ,Waymo Main Site,
825 Sansome St.,Application denied,Denied,Tesla,"One level of public parking garage, with two fleet charging levels",
465 Irwin St,No fleet charging currently,Denied,Unknown,"Applied for change of use to fleet charging, closed without approval",
330 8th St,Application withdrawn,Withdrawn,Lyft,30 Charging Spaces,
1200 Larkin st,"Withdrew Application, no AV's currently",Withdrawn,Sterling Organization,74 Charging Spaces ,Developer met with Planning in 2021 to discuss redeveloping the site into two commercial / retail units and 132 multifamily residential units including on-site inclusionary affordable housing units.
1500 19th Ave,Application withdrawn,Withdrawn,Unknown,"Application was submitted to convert automotive use to Fleet Charging use, 12 Charging Spaces",
1700 Pine St,Abandoned Cruise infastructure,Abandoned,Cruise,"Cruise charging site, now sitting empty",
855 Geary St,Abandoned Cruise infastructure,Abandoned,Cruise,"Cruise site, 20 chargers",
241 Loomis St,Abandoned Cruise infastructure,Abandoned,Cruise,"Cruise charging site, now sitting empty",
301 Brannan,Abandoned Cruise infastructure,Abandoned,Cruise,"Cruise HQ site, adjacent parking lot formerly used as AV staging lot.  Application was submitted in 2019 to store, maintain and charge vehicles in the building's 5,797-square-foot parking area. ",
333 Brannan,Abandoned Cruise infastructure,Abandoned,Cruise,"Cruise HQ site. Application was submitted in 2019 to store, maintain and charge vehicles in the building's 12,250-square-foot parking area.  ",
640 Chavez ,Abandoned Cruise infastructure,Abandoned,Cruise,Unknown,
345 Brannan,Abandoned Cruise infastructure,Abandoned,Cruise,"Cruise HQ site. Application was submitted in 2020 to store, charge and maintain vehicles in the building's 7,167-square-foot parking area.",
