Country,TPS Status,Total TPS Holders,Date TPS was originally designated  
Venezuela (2023),"Terminated *see ongoing litigation - effective May 19, 2025 (Supreme Court-allowed)","352,190",2023
Afghanistan,"Terminated - effective July 14, 2025","11,700",2022
Cameroon,"Terminated - effective August 4, 2025","5,200",2022
Nepal,"Terminated *see ongoing litigation - announced June 6, 2025, effective Aug. 20, 2025; Ninth Circuit stay made termination and work authorization effective Feb. 9, 2026","12,700",2015
Honduras,"Terminated *see ongoing litigation - announced July 8, 2025, effective Sept. 8, 2025; Ninth Circuit stay made termination and work authorization effective Feb. 9, 2026","72,000",1999
Nicaragua,"Terminated *see ongoing litigation - announced July 8, 2025, effective Sept. 8, 2025; Ninth Circuit stay made termination and work authorization effective Feb. 9, 2026","4,000",1999
Venezuela (2021),"Terminated *see ongoing litigation - effective November 7, 2025","252,825",2021
Syria,"Terminated - Supreme Court ruled June 25, 2026 clearing the way for termination; TPS designation terminated effective July 27, 2026","6,132",2012
South Sudan,"Terminated / Restored *see ongoing litigation - announced Nov. 6, 2025, effective Jan. 5, 2026; stayed by court order Dec. 30, 2025",210,2011
Burma (Myanmar),"Terminated / Restored *see ongoing litigation - designated through Nov. 25, 2025; termination effective ~60 days later (around Jan. 24, 2026); vacated by court order Jan. 23, 2026, just before taking effect","3,670",2021
Ethiopia,"Terminated / Restored *see ongoing litigation - announced Dec. 15, 2025, effective Feb. 13, 2026; stayed by court order Jan. 30, 2026","5,001",2022
Haiti,"Terminated - Supreme Court ruled June 25, 2026 clearing the way for termination; TPS designation terminated effective July 27, 2026","348,187",2010
Yemen,"Terminated / Restored *see ongoing litigation - announced Feb. 13, 2026, effective May 4, 2026; stayed by court order May 1, 2026","1,380",2015
Somalia,"Terminated / Restored *see ongoing litigation - designated through March 17, 2026; stayed by court order March 13, 2026",705,1991
El Salvador,"Active - through September 9, 2026","170,125",2011
Sudan,"Active - through October 19, 2026","1,790",1997
Ukraine,"Active - through October 19, 2026","101,150",2022
Lebanon,"Extended - through November 27, 2026",140,2024
